iter	Logloss
133	0.2601718663
134	0.2601155442
135	0.2601033131
136	0.2599477217
137	0.2599160279
138	0.2598701105
139	0.2597333546
140	0.259691459
141	0.2594973663
142	0.2594315435
143	0.259365407
144	0.2593541352
145	0.2593113356
146	0.2592255518
147	0.2591569986
148	0.259138735
149	0.2591196965
150	0.2590704954
151	0.2590040269
152	0.2589158633
153	0.2589099599
154	0.2588877115
155	0.258839894
156	0.2587810814
157	0.258742654
158	0.2587091706
159	0.2586532913
160	0.2586092003
161	0.2585966371
162	0.2585858819
163	0.2584679246
164	0.2584151261
165	0.2583205242
166	0.2582318257
167	0.2582267524
168	0.2581377034
169	0.2580597785
170	0.2580245611
171	0.2579859676
172	0.2579582586
173	0.2578558346
174	0.2578265944
175	0.2577830937
176	0.2577821897
177	0.2577820237
178	0.2577545176
179	0.2577332653
180	0.2577183777
181	0.2576822932
182	0.257667258
183	0.2576479797
184	0.2576019332
185	0.2576007894
186	0.2575883739
187	0.2575727114
188	0.2575583957
189	0.257528067
190	0.2575089916
191	0.2574786076
192	0.2574452349
193	0.2573533818
194	0.2573099364
195	0.2572842936
196	0.2572786116
197	0.2572311077
198	0.2572265879
199	0.2572146519
200	0.2572140431
201	0.2572139878
202	0.2571293663
203	0.2570963626
204	0.2570541164
205	0.2570539135
206	0.2569770033
207	0.2569628905
208	0.2569594223
209	0.2569121951
210	0.2568927139
211	0.2568450624
212	0.2567657355
213	0.2567658093
214	0.2566933267
215	0.2566649166
216	0.2566184273
217	0.256588652
218	0.256588652
219	0.2565072405
220	0.2564968358
221	0.2563945779
222	0.2563544163
223	0.2563398423
224	0.2562823395
225	0.2562459783
226	0.2562458861
227	0.2561821294
228	0.2561691235
229	0.2561536639
230	0.2561524648
231	0.2561477052
232	0.2560958844
233	0.2560866235
234	0.2560349503
235	0.2558978624
236	0.2558810746
237	0.2558615934
238	0.2558543248
239	0.2557974308
240	0.255756679
241	0.2556950069
242	0.2556795105
243	0.2556496245
244	0.2556329659
245	0.2555816432
246	0.2555798169
247	0.2555784148
248	0.2555553362
249	0.2554683165
250	0.2554679106
251	0.2554675416
252	0.2554607527
253	0.2554437436
254	0.2554437251
255	0.255416385
256	0.2554164035
257	0.2554119944
258	0.255290163
259	0.2552831158
260	0.2552831158
261	0.2551896946
262	0.2551893625
263	0.2551844922
264	0.2551238902
265	0.2551068257
266	0.255098524
267	0.2550464634
268	0.2550359295
269	0.2550359295
270	0.2550154706
271	0.2550149909
272	0.2549988857
273	0.2549411985
274	0.2549060917
275	0.2548919974
276	0.2548397154
277	0.2547171646
278	0.254713973
279	0.2547020002
280	0.2546827957
281	0.25468215
282	0.2546014211
283	0.2545235332
284	0.254523072
285	0.2545216145
286	0.2545213009
287	0.2544794237
288	0.2544664178
289	0.2544516593
290	0.2544299274
291	0.2544298905
292	0.2544301857
293	0.25440517
294	0.2544039525
295	0.2543714284
296	0.2543716683
297	0.2543716129
298	0.254312579
299	0.2543041113
300	0.2543042589
301	0.2542479737
302	0.2542478999
303	0.2542477338
304	0.2542473833
305	0.2542458706
306	0.2541743657
307	0.254151859
308	0.2540759265
309	0.2540667947
310	0.2540397498
311	0.2540304335
312	0.2539848851
313	0.2539772476
314	0.2539430632
315	0.2538625187
